== Frequent Itemsets ==
34 (7914)
59 (5176)
63 (4936)
76 (4384)
23 (3376)
93 (3968)
52 (3516)
86 (7924)
85 (8124)
36 (6812)
3 (3656)
67 (4464)
90 (7488)
1 (3916)
39 (5612)
2 (4208)
10 (3244)
53 (4608)
28 (3528)
24 (4748)
110 (4040)
6 (3152)
56 (3776)
116 (3148)
36 90 85 (6464)
67 90 34 (3976)
67 86 63 (3064)
1 90 34 (3808)
86 90 23 (3080)
23 34 63 (3040)
36 86 76 (3128)
86 90 63 (4304)
36 59 93 (3320)
90 85 59 (4736)
1 36 34 (3786)
85 34 59 (4984)
67 86 76 (3520)
34 59 63 (3964)
86 90 59 (4544)
3 90 85 (3464)
63 59 93 (3328)
36 86 67 (3160)
85 59 63 (4156)
86 93 23 (3184)
85 59 23 (3232)
90 93 23 (3080)
36 85 23 (3272)
36 86 63 (3992)
85 34 93 (3776)
36 90 34 (6272)
34 90 63 (4304)
90 34 59 (4544)
86 59 63 (3964)
36 85 67 (3160)
85 34 23 (3376)
36 34 67 (3160)
34 93 23 (3184)
86 59 93 (3472)
3 86 34 (3602)
67 90 85 (3976)
67 85 76 (3520)
36 86 93 (3288)
85 34 63 (4744)
90 86 85 (7288)
85 86 34 (7906)
85 90 63 (4496)
36 93 63 (3128)
86 34 63 (4744)
36 85 93 (3480)
34 59 76 (3280)
67 85 34 (4464)
1 85 34 (3898)
67 86 59 (3304)
86 90 93 (3368)
36 86 85 (6620)
34 93 63 (3280)
90 85 34 (7296)
86 85 63 (4744)
36 34 93 (3288)
1 36 90 (3696)
3 86 90 (3416)
67 34 59 (3304)
36 59 63 (3680)
90 86 34 (7288)
2 90 59 (3272)
90 2 85 (3680)
39 34 59 (3400)
39 86 85 (5420)
39 86 93 (3128)
39 2 86 (3728)
2 85 63 (3400)
39 85 63 (3400)
2 86 85 (4016)
2 34 63 (3208)
2 86 90 (3488)
36 2 85 (3008)
39 85 59 (3592)
39 85 34 (5402)
39 2 59 (3376)
39 34 63 (3208)
39 86 90 (4784)
39 2 34 (3728)
39 90 34 (4784)
39 86 63 (3208)
85 2 34 (4016)
2 86 59 (3448)
39 2 85 (3920)
39 86 23 (3016)
36 59 39 (3064)
2 59 63 (3124)
39 85 23 (3016)
39 2 90 (3392)
36 93 39 (3032)
39 90 85 (4976)
2 85 93 (3152)
36 34 39 (4346)
39 90 59 (3152)
39 2 63 (3184)
36 85 39 (4556)
39 59 63 (3064)
2 34 59 (3448)
39 86 59 (3400)
36 86 39 (4364)
39 34 93 (3128)
90 2 34 (3488)
2 86 63 (3208)
39 86 34 (5402)
39 85 93 (3320)
36 90 39 (4208)
39 34 23 (3016)
39 59 93 (3016)
36 39 23 (3016)
2 85 59 (3640)
2 86 34 (4016)
2 90 63 (3032)
10 86 85 (3236)
36 86 10 (3208)
10 85 34 (3226)
10 86 90 (3044)
36 85 10 (3208)
10 90 34 (3052)
10 86 34 (3218)
36 90 10 (3016)
10 90 85 (3052)
36 34 10 (3190)
28 39 86 (3096)
53 86 85 (4608)
53 90 34 (4608)
53 86 63 (3216)
53 86 34 (4608)
53 90 63 (3216)
53 90 59 (3216)
28 39 85 (3288)
86 34 24 (4530)
28 86 85 (3328)
53 90 85 (4608)
28 2 34 (3216)
85 34 24 (4538)
53 34 63 (3216)
53 86 90 (4608)
28 2 86 (3216)
53 85 63 (3216)
28 2 85 (3408)
28 86 34 (3328)
28 39 2 (3216)
86 85 24 (4548)
90 34 24 (4216)
86 90 24 (4208)
28 85 34 (3336)
53 85 59 (3216)
90 85 24 (4408)
53 34 59 (3216)
28 39 34 (3096)
53 86 59 (3216)
53 85 34 (4608)
85 34 110 (3944)
86 90 110 (3856)
90 34 110 (3856)
36 34 110 (3752)
90 85 110 (3952)
36 86 110 (3752)
36 85 110 (3848)
36 90 110 (3760)
86 34 110 (3944)
86 85 110 (3944)
36 90 24 (3488)
36 86 24 (3348)
36 34 24 (3330)
36 85 24 (3540)
6 86 85 (3102)
6 90 85 (3020)
6 86 34 (3096)
6 85 34 (3098)
86 85 116 (3148)
85 34 116 (3130)
90 34 116 (3104)
86 90 116 (3104)
86 34 116 (3130)
90 56 34 (3656)
56 86 34 (3776)
56 86 90 (3656)
90 85 116 (3104)
85 56 34 (3776)
90 56 85 (3656)
56 86 85 (3776)
36 56 34 (3528)
36 56 90 (3408)
36 53 34 (3744)
39 56 34 (3432)
36 53 85 (3744)
39 56 86 (3432)
36 56 85 (3528)
36 53 90 (3744)
36 56 86 (3528)
36 56 39 (3432)
39 56 90 (3312)
39 56 85 (3432)
36 86 53 (3744)
1 36 24 (3188)
1 90 24 (3256)
1 34 24 (3274)
1 86 24 (3284)
1 85 24 (3292)
90 63 36 86 (3696)
63 86 85 93 (3280)
90 34 85 93 (3368)
67 34 59 86 (3304)
34 86 85 23 (3376)
34 59 86 23 (3232)
34 86 85 76 (4384)
34 1 86 85 (3890)
90 1 36 85 (3696)
34 63 85 76 (3040)
90 86 85 76 (3896)
67 34 86 76 (3520)
34 59 63 36 (3488)
59 86 85 93 (3472)
90 59 36 86 (3936)
59 85 93 23 (3040)
34 90 86 76 (3896)
36 85 93 23 (3080)
34 63 86 23 (3040)
52 34 86 85 (3298)
90 34 1 86 (3800)
34 59 90 86 (4544)
1 36 86 85 (3804)
90 59 63 36 (3384)
34 59 36 86 (4232)
59 63 85 93 (3328)
34 63 86 93 (3280)
34 59 85 23 (3232)
3 90 34 85 (3416)
67 90 86 76 (3080)
59 36 85 23 (3128)
34 63 86 76 (3040)
3 90 86 85 (3416)
34 1 36 85 (3786)
59 86 93 23 (3040)
90 1 36 86 (3696)
90 59 86 85 (4544)
59 36 86 93 (3128)
34 59 63 85 (3964)
67 34 36 86 (3160)
67 34 90 76 (3080)
3 34 86 85 (3602)
67 34 63 86 (3064)
34 59 93 23 (3040)
67 36 86 85 (3160)
67 86 85 76 (3520)
86 85 93 23 (3184)
90 34 36 86 (6272)
34 86 85 93 (3776)
90 63 85 93 (3224)
34 90 85 23 (3080)
63 86 85 23 (3040)
34 36 93 23 (3080)
34 36 85 76 (3128)
63 86 85 76 (3040)
34 90 85 76 (3896)
34 36 85 93 (3288)
59 63 86 85 (3964)
34 59 36 93 (3128)
90 59 34 85 (4544)
90 59 86 93 (3224)
59 36 86 85 (4232)
34 59 63 93 (3136)
67 34 59 85 (3304)
67 90 85 76 (3080)
67 34 36 85 (3160)
59 36 85 93 (3320)
34 59 63 86 (3964)
34 59 36 23 (3128)
34 85 93 23 (3184)
34 59 86 85 (4984)
90 59 63 85 (3788)
59 63 36 93 (3056)
36 86 85 23 (3272)
90 86 93 23 (3080)
90 63 36 85 (3888)
34 36 86 85 (6602)
34 90 86 93 (3368)
67 63 86 85 (3064)
67 90 34 85 (3976)
90 34 1 85 (3808)
90 36 86 85 (6272)
34 63 36 85 (3992)
90 34 63 93 (3032)
34 63 86 85 (4744)
90 59 63 86 (3596)
67 34 63 85 (3064)
67 90 86 85 (3976)
90 1 86 85 (3800)
90 63 86 93 (3032)
63 36 86 85 (3992)
34 90 36 85 (6272)
90 59 36 93 (3216)
34 86 93 23 (3184)
90 34 1 36 (3696)
59 36 86 23 (3128)
90 59 63 34 (3596)
34 59 85 93 (3472)
90 59 34 36 (3936)
59 63 36 86 (3488)
67 34 85 76 (3520)
3 90 34 86 (3416)
90 86 85 23 (3080)
36 86 93 23 (3080)
34 63 85 23 (3040)
36 86 85 76 (3128)
34 63 85 93 (3280)
34 90 63 36 (3696)
90 86 85 93 (3368)
90 63 36 93 (3024)
34 36 86 93 (3288)
90 34 86 85 (7288)
59 86 85 76 (3280)
59 86 85 23 (3232)
67 34 86 85 (4464)
36 86 85 93 (3288)
34 36 86 23 (3272)
34 90 36 93 (3168)
90 63 86 85 (4304)
90 59 34 93 (3224)
34 59 36 85 (4232)
59 63 86 93 (3136)
34 59 85 76 (3280)
67 59 86 85 (3304)
90 59 36 85 (4128)
34 1 36 86 (3786)
34 90 93 23 (3080)
34 36 85 23 (3272)
63 36 85 93 (3128)
34 36 86 76 (3128)
34 90 86 23 (3080)
34 59 86 76 (3280)
67 34 90 86 (3976)
90 59 63 93 (3152)
59 63 36 85 (3680)
34 59 86 93 (3472)
90 36 86 93 (3168)
34 90 63 85 (4304)
34 63 36 86 (3992)
90 85 93 23 (3080)
90 36 85 93 (3360)
90 34 63 86 (4304)
90 59 85 93 (3416)
39 36 86 85 (4364)
2 34 63 86 (3208)
39 34 36 86 (4346)
39 90 34 85 (4784)
39 63 86 85 (3208)
2 59 86 85 (3448)
39 34 59 85 (3400)
39 36 86 23 (3016)
39 59 86 85 (3400)
90 34 2 85 (3488)
2 63 86 85 (3208)
39 90 2 86 (3200)
90 59 2 85 (3272)
39 63 2 85 (3184)
2 34 59 86 (3448)
39 59 63 85 (3064)
39 34 90 2 (3200)
39 34 63 85 (3208)
39 90 86 85 (4784)
39 59 85 93 (3016)
39 34 59 86 (3400)
39 90 59 2 (3008)
34 63 2 85 (3208)
39 34 36 23 (3016)
2 90 86 85 (3488)
90 34 59 2 (3080)
39 34 2 85 (3728)
39 2 86 85 (3728)
39 90 34 86 (4784)
39 90 2 85 (3392)
34 59 2 85 (3448)
39 34 2 86 (3728)
39 90 36 85 (4208)
39 90 59 85 (3152)
39 86 85 93 (3128)
39 90 36 86 (4016)
39 34 86 23 (3016)
2 90 34 86 (3488)
39 36 85 23 (3016)
39 34 86 93 (3128)
39 34 85 93 (3128)
39 90 34 36 (4016)
39 59 36 85 (3064)
2 90 59 86 (3080)
39 59 2 85 (3376)
39 34 63 86 (3208)
39 36 85 93 (3032)
2 34 86 85 (4016)
90 63 2 85 (3032)
39 34 59 2 (3184)
39 34 86 85 (5402)
39 34 85 23 (3016)
39 34 36 85 (4346)
39 86 85 23 (3016)
59 63 2 85 (3124)
39 59 2 86 (3184)
10 36 86 85 (3208)
90 10 36 85 (3016)
90 34 10 85 (3052)
90 10 86 85 (3044)
90 34 10 36 (3016)
34 10 36 86 (3190)
34 10 36 85 (3190)
90 34 10 86 (3044)
34 10 86 85 (3218)
90 10 36 86 (3016)
28 2 85 86 (3216)
28 39 2 85 (3216)
90 34 53 85 (4608)
63 53 86 85 (3216)
28 39 34 86 (3096)
34 63 53 86 (3216)
28 34 2 86 (3216)
90 63 53 86 (3216)
90 34 53 86 (4608)
34 59 53 85 (3216)
34 90 63 53 (3216)
28 34 2 85 (3216)
90 24 86 85 (4208)
90 34 24 86 (4208)
28 34 86 85 (3328)
34 53 86 85 (4608)
90 63 53 85 (3216)
28 39 2 86 (3024)
34 24 86 85 (4530)
90 34 24 85 (4216)
28 39 34 85 (3096)
90 59 53 85 (3216)
28 39 86 85 (3096)
90 59 53 86 (3216)
28 39 34 2 (3024)
34 59 53 86 (3216)
90 34 59 53 (3216)
59 53 86 85 (3216)
34 63 53 85 (3216)
90 53 86 85 (4608)
90 110 86 85 (3856)
90 34 110 86 (3856)
90 110 36 86 (3664)
90 110 36 85 (3760)
90 34 110 36 (3664)
34 110 36 85 (3752)
34 110 86 85 (3944)
110 36 86 85 (3752)
90 34 110 85 (3856)
34 110 36 86 (3752)
90 24 36 85 (3488)
34 24 36 86 (3330)
90 34 24 36 (3296)
90 24 36 86 (3296)
24 36 86 85 (3348)
34 24 36 85 (3330)
6 34 86 85 (3096)
56 90 34 85 (3656)
90 34 85 116 (3104)
90 34 86 116 (3104)
56 90 86 85 (3656)
34 86 85 116 (3130)
56 34 86 85 (3776)
90 86 85 116 (3104)
56 90 34 86 (3656)
39 56 90 36 (3312)
39 56 86 85 (3432)
53 34 36 85 (3744)
56 34 36 86 (3528)
53 90 36 86 (3744)
39 56 34 85 (3432)
39 56 90 86 (3312)
39 56 90 34 (3312)
39 56 34 86 (3432)
56 90 36 85 (3408)
53 36 86 85 (3744)
56 34 36 85 (3528)
39 56 34 36 (3432)
56 36 86 85 (3528)
53 90 36 85 (3744)
39 56 36 86 (3432)
53 34 36 86 (3744)
56 90 36 86 (3408)
39 56 90 85 (3312)
39 56 36 85 (3432)
56 90 34 36 (3408)
53 90 34 36 (3744)
24 1 36 85 (3188)
34 24 1 36 (3170)
90 24 1 36 (3152)
34 24 1 85 (3274)
24 1 86 85 (3284)
90 24 1 86 (3248)
34 24 1 86 (3266)
90 24 1 85 (3256)
24 1 36 86 (3188)
90 34 24 1 (3256)
34 36 85 93 23 (3080)
90 86 85 93 23 (3080)
59 36 86 85 93 (3128)
34 86 85 93 23 (3184)
34 59 85 93 23 (3040)
34 90 1 36 86 (3696)
34 59 76 86 85 (3280)
63 90 36 85 93 (3024)
67 34 76 90 86 (3080)
34 63 90 85 93 (3032)
34 59 63 36 86 (3488)
90 1 36 86 85 (3696)
67 34 63 86 85 (3064)
67 34 36 86 85 (3160)
34 90 85 93 23 (3080)
34 59 36 86 23 (3128)
59 63 90 86 85 (3596)
34 90 36 86 93 (3168)
34 59 90 36 93 (3024)
34 59 90 86 85 (4544)
34 59 36 86 93 (3128)
59 36 86 85 23 (3128)
34 76 36 86 85 (3128)
34 90 86 85 23 (3080)
34 36 86 93 23 (3080)
34 90 36 86 85 (6272)
59 63 36 86 85 (3488)
34 59 90 36 85 (3936)
34 36 86 85 23 (3272)
34 59 36 85 23 (3128)
34 90 86 93 23 (3080)
34 59 63 85 93 (3136)
34 63 86 85 93 (3280)
34 63 90 36 86 (3696)
34 59 63 90 36 (3192)
59 90 86 85 93 (3224)
34 90 1 86 85 (3800)
63 90 86 85 93 (3032)
34 59 86 85 93 (3472)
34 59 90 36 86 (3936)
59 63 90 85 93 (3152)
36 86 85 93 23 (3080)
67 34 76 86 85 (3520)
34 90 1 36 85 (3696)
34 59 63 86 93 (3136)
34 63 90 36 85 (3696)
34 59 86 85 23 (3232)
59 90 36 86 93 (3024)
34 59 63 90 85 (3596)
34 63 90 86 85 (4304)
34 59 63 86 85 (3964)
34 63 86 85 23 (3040)
67 34 59 86 85 (3304)
67 76 90 86 85 (3080)
34 59 36 85 93 (3128)
59 63 90 36 86 (3192)
59 63 86 85 93 (3136)
34 90 86 85 93 (3368)
34 59 90 85 93 (3224)
34 59 86 93 23 (3040)
67 34 90 86 85 (3976)
34 90 36 85 93 (3168)
59 63 36 85 93 (3056)
59 86 85 93 23 (3040)
3 34 90 86 85 (3416)
34 59 63 90 86 (3596)
59 90 36 85 93 (3216)
90 36 86 85 93 (3168)
67 34 76 90 85 (3080)
34 1 36 86 85 (3786)
34 63 90 86 93 (3032)
34 59 63 36 85 (3488)
59 90 36 86 85 (3936)
34 63 36 86 85 (3992)
34 63 76 86 85 (3040)
63 90 36 86 85 (3696)
34 59 90 86 93 (3224)
59 63 90 36 85 (3384)
34 59 36 86 85 (4232)
34 76 90 86 85 (3896)
34 36 86 85 93 (3288)
39 34 63 86 85 (3208)
34 59 2 90 85 (3080)
34 2 90 86 85 (3488)
39 34 2 90 85 (3200)
34 59 2 90 86 (3080)
39 36 86 85 23 (3016)
39 2 90 86 85 (3200)
39 59 2 90 85 (3008)
39 34 2 90 86 (3200)
59 2 90 86 85 (3080)
34 63 2 86 85 (3208)
39 34 36 86 23 (3016)
39 90 36 86 85 (4016)
39 34 36 86 85 (4346)
39 34 36 85 23 (3016)
39 34 59 2 86 (3184)
39 34 90 86 85 (4784)
39 34 86 85 23 (3016)
39 34 90 36 85 (4016)
34 59 2 86 85 (3448)
39 34 59 86 85 (3400)
39 34 59 2 85 (3184)
39 34 2 86 85 (3728)
39 59 2 86 85 (3184)
39 34 90 36 86 (4016)
39 34 86 85 93 (3128)
34 10 90 36 86 (3016)
34 10 90 86 85 (3044)
34 10 36 86 85 (3190)
10 90 36 86 85 (3016)
34 10 90 36 85 (3016)
39 34 2 28 86 (3024)
34 2 28 86 85 (3216)
34 63 90 53 85 (3216)
34 59 53 86 85 (3216)
63 90 53 86 85 (3216)
34 63 90 53 86 (3216)
39 2 28 86 85 (3024)
39 34 28 86 85 (3096)
39 34 2 28 85 (3024)
34 24 90 86 85 (4208)
34 59 90 53 86 (3216)
59 90 53 86 85 (3216)
34 63 53 86 85 (3216)
34 59 90 53 85 (3216)
34 90 53 86 85 (4608)
34 110 36 86 85 (3752)
34 90 110 36 85 (3664)
34 90 110 86 85 (3856)
34 90 110 36 86 (3664)
90 110 36 86 85 (3664)
34 24 90 36 86 (3296)
34 24 90 36 85 (3296)
34 24 36 86 85 (3330)
24 90 36 86 85 (3296)
34 90 86 85 116 (3104)
56 34 90 86 85 (3656)
39 56 90 86 85 (3312)
39 56 34 90 85 (3312)
56 34 36 86 85 (3528)
34 53 90 36 85 (3744)
39 56 90 36 86 (3312)
34 53 90 36 86 (3744)
39 56 34 90 86 (3312)
53 90 36 86 85 (3744)
39 56 34 36 85 (3432)
56 34 90 36 86 (3408)
39 56 90 36 85 (3312)
39 56 36 86 85 (3432)
56 34 90 36 85 (3408)
39 56 34 90 36 (3312)
39 56 34 36 86 (3432)
34 53 36 86 85 (3744)
56 90 36 86 85 (3408)
39 56 34 86 85 (3432)
34 24 90 1 86 (3248)
24 1 36 86 85 (3188)
34 24 90 1 36 (3152)
24 90 1 86 85 (3248)
24 90 1 36 85 (3152)
24 90 1 36 86 (3152)
34 24 90 1 85 (3256)
34 24 1 36 86 (3170)
34 24 1 36 85 (3170)
34 24 1 86 85 (3266)
34 90 1 36 86 85 (3696)
34 36 86 85 93 23 (3080)
34 63 90 36 86 85 (3696)
34 63 90 86 85 93 (3032)
34 59 63 90 36 85 (3192)
34 59 90 86 85 93 (3224)
34 59 90 36 86 85 (3936)
34 59 63 90 36 86 (3192)
34 59 63 86 85 93 (3136)
67 34 76 90 86 85 (3080)
34 59 90 36 85 93 (3024)
34 59 63 36 86 85 (3488)
34 90 36 86 85 93 (3168)
34 59 36 86 85 23 (3128)
34 59 86 85 93 23 (3040)
59 90 36 86 85 93 (3024)
34 59 90 36 86 93 (3024)
34 59 36 86 85 93 (3128)
34 59 63 90 86 85 (3596)
34 90 86 85 93 23 (3080)
59 63 90 36 86 85 (3192)
39 34 90 36 86 85 (4016)
39 34 59 2 86 85 (3184)
34 59 2 90 86 85 (3080)
39 34 2 90 86 85 (3200)
39 34 36 86 85 23 (3016)
34 10 90 36 86 85 (3016)
34 63 90 53 86 85 (3216)
34 59 90 53 86 85 (3216)
39 34 2 28 86 85 (3024)
34 90 110 36 86 85 (3664)
34 24 90 36 86 85 (3296)
39 56 90 36 86 85 (3312)
39 56 34 90 36 85 (3312)
39 56 34 90 36 86 (3312)
39 56 34 36 86 85 (3432)
34 53 90 36 86 85 (3744)
56 34 90 36 86 85 (3408)
39 56 34 90 86 85 (3312)
34 24 90 1 36 86 (3152)
24 90 1 36 86 85 (3152)
34 24 1 36 86 85 (3170)
34 24 90 1 36 85 (3152)
34 24 90 1 86 85 (3248)
34 59 90 36 86 85 93 (3024)
34 59 63 90 36 86 85 (3192)
39 56 34 90 36 86 85 (3312)
34 24 90 1 36 86 85 (3152)

== Confident Association Rules ==
59 => 93 (conf: 0.71)
93 => 59 (conf: 0.92)
93 => 86 (conf: 0.95)
67 => 36 (conf: 0.71)
1 => 36 (conf: 0.97)
34 => 59 (conf: 0.63)
59 => 34 (conf: 0.96)
86 => 34 (conf: 1.00)
34 => 86 (conf: 1.00)
90 => 63 (conf: 0.60)
63 => 90 (conf: 0.91)
52 => 36 (conf: 0.87)
67 => 85 (conf: 1.00)
86 => 59 (conf: 0.63)
59 => 86 (conf: 0.96)
36 => 63 (conf: 0.61)
63 => 36 (conf: 0.85)
23 => 90 (conf: 0.91)
85 => 34 (conf: 0.97)
34 => 85 (conf: 1.00)
67 => 34 (conf: 1.00)
1 => 34 (conf: 1.00)
23 => 36 (conf: 0.97)
76 => 90 (conf: 0.89)
59 => 23 (conf: 0.62)
23 => 59 (conf: 0.96)
23 => 86 (conf: 1.00)
1 => 85 (conf: 1.00)
85 => 63 (conf: 0.61)
63 => 85 (conf: 1.00)
67 => 63 (conf: 0.69)
63 => 67 (conf: 0.62)
93 => 90 (conf: 0.90)
36 => 85 (conf: 1.00)
85 => 36 (conf: 0.84)
3 => 34 (conf: 0.99)
93 => 34 (conf: 0.95)
67 => 59 (conf: 0.74)
59 => 67 (conf: 0.64)
67 => 86 (conf: 1.00)
85 => 59 (conf: 0.64)
59 => 85 (conf: 1.00)
86 => 85 (conf: 1.00)
85 => 86 (conf: 0.98)
1 => 86 (conf: 1.00)
52 => 34 (conf: 0.94)
59 => 76 (conf: 0.63)
76 => 59 (conf: 0.75)
76 => 86 (conf: 1.00)
52 => 86 (conf: 0.94)
76 => 36 (conf: 0.71)
76 => 63 (conf: 0.69)
63 => 76 (conf: 0.62)
3 => 36 (conf: 0.82)
67 => 90 (conf: 0.89)
93 => 36 (conf: 0.88)
90 => 85 (conf: 1.00)
85 => 90 (conf: 0.92)
23 => 85 (conf: 1.00)
3 => 86 (conf: 0.99)
3 => 90 (conf: 0.95)
36 => 59 (conf: 0.65)
59 => 36 (conf: 0.85)
36 => 86 (conf: 0.97)
86 => 36 (conf: 0.84)
90 => 34 (conf: 0.97)
34 => 90 (conf: 0.92)
59 => 63 (conf: 0.80)
63 => 59 (conf: 0.84)
63 => 86 (conf: 0.96)
23 => 63 (conf: 0.90)
63 => 23 (conf: 0.62)
63 => 34 (conf: 0.96)
90 => 59 (conf: 0.63)
59 => 90 (conf: 0.91)
86 => 90 (conf: 0.92)
90 => 86 (conf: 0.97)
76 => 34 (conf: 1.00)
93 => 23 (conf: 0.80)
23 => 93 (conf: 0.94)
76 => 85 (conf: 1.00)
67 => 76 (conf: 0.79)
76 => 67 (conf: 0.80)
93 => 63 (conf: 0.88)
63 => 93 (conf: 0.70)
52 => 85 (conf: 1.00)
1 => 90 (conf: 0.97)
93 => 85 (conf: 1.00)
36 => 90 (conf: 0.95)
90 => 36 (conf: 0.86)
23 => 34 (conf: 1.00)
36 => 34 (conf: 0.97)
34 => 36 (conf: 0.83)
3 => 85 (conf: 1.00)
39 => 34 (conf: 0.96)
34 => 39 (conf: 0.68)
39 => 2 (conf: 0.70)
2 => 39 (conf: 0.93)
93 => 39 (conf: 0.84)
2 => 36 (conf: 0.71)
39 => 59 (conf: 0.64)
59 => 39 (conf: 0.69)
39 => 86 (conf: 0.97)
86 => 39 (conf: 0.68)
2 => 85 (conf: 1.00)
2 => 63 (conf: 0.81)
63 => 2 (conf: 0.69)
2 => 34 (conf: 0.95)
39 => 85 (conf: 1.00)
85 => 39 (conf: 0.69)
39 => 63 (conf: 0.61)
63 => 39 (conf: 0.69)
2 => 93 (conf: 0.75)
93 => 2 (conf: 0.79)
2 => 90 (conf: 0.87)
2 => 59 (conf: 0.87)
59 => 2 (conf: 0.70)
2 => 86 (conf: 0.95)
36 => 39 (conf: 0.67)
39 => 36 (conf: 0.81)
39 => 90 (conf: 0.89)
90 => 39 (conf: 0.66)
23 => 39 (conf: 0.89)
10 => 36 (conf: 0.99)
10 => 86 (conf: 1.00)
10 => 85 (conf: 1.00)
10 => 34 (conf: 0.99)
10 => 90 (conf: 0.94)
28 => 34 (conf: 0.95)
53 => 59 (conf: 0.70)
59 => 53 (conf: 0.62)
53 => 86 (conf: 1.00)
24 => 86 (conf: 0.96)
28 => 39 (conf: 0.93)
28 => 85 (conf: 1.00)
53 => 34 (conf: 1.00)
28 => 2 (conf: 0.97)
2 => 28 (conf: 0.81)
24 => 90 (conf: 0.93)
53 => 85 (conf: 1.00)
24 => 34 (conf: 0.96)
53 => 90 (conf: 1.00)
90 => 53 (conf: 0.62)
28 => 86 (conf: 0.94)
24 => 85 (conf: 1.00)
53 => 63 (conf: 0.70)
